[2023-08-29 03:56:28] [25] [WARN] Reporting disabled: using no op test run registrar
[2023-08-29 03:56:28] [25] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithLowerCaseEmail] STARTED at [03:56:28 2023-08-29]
[2023-08-29 03:56:30] [25] [INFO] Setting default IDP method to call
[2023-08-29 03:56:30] [25] [INFO] Setting up IDP method to SIGN_UP
[2023-08-29 03:56:30] [25] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-29 03:56:30] [25] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-29 03:56:30] [25] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyCfEwH88Li2EsqBTrbI2o5JKXj7CiccNMo
Request params:	<none>
Query params:	key=AIzaSyCfEwH88Li2EsqBTrbI2o5JKXj7CiccNMo
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "lifefitnesspostman+84612242@gmail.com",
    "password": "hevabqa58rcdr0"
}
HTTP/1.1 200 OK
Pragma: no-cache
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Date: Tue, 29 Aug 2023 03:56:30 GMT
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6ImM2MGI5ZGUwODBmZmFmYmZjMTgzMzllY2Q0NGFjNzdmN2ZhNGU4ZDMiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1xYS0xOTEyMDIiLCJhdWQiOiJsZmNvLXFhLTE5MTIwMiIsImF1dGhfdGltZSI6MTY5MzI4MTM5MCwidXNlcl9pZCI6ImJubExaWGVJSnFaRjVlRzRxQ0Rpb2p6TnJ3aDEiLCJzdWIiOiJibmxMWlhlSUpxWkY1ZUc0cUNEaW9qek5yd2gxIiwiaWF0IjoxNjkzMjgxMzkwLCJleHAiOjE2OTMyODQ5OTAsImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzg0NjEyMjQyQGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rODQ2MTIyNDJAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.Mmh-EkXicebjiGFgyd2UXBl6RxPvf89HSDGYhxZ-zSrKKZqaCqKAFQuB0815x6uPczet_RnGiAam0ZzaPwK8yFopK_DR3fACc1yG5oYIBGkH8OkjyUPXsJKe2gWpbh686sQgN234TkKaWuMcNZ4eebhmNgXOfn_swIUQG3Mcw58EIfQ3q7fwV5eku6_kzp9CYfw2dxcMXlF0QWTyqWoFuBIG_3lp8HF7dYzN1M9ylB5L4Ro6Kw1sH2NTvmR2SJdRVlWpVE4cOmVWbniSAAk9aVqhF0huH12GAPwBaufULtYun-7UDwvQXKrkXFhp54eWxZ6zVmeble6NGl3nFaFEug",
    "email": "lifefitnesspostman+84612242@gmail.com",
    "refreshToken": "AMf-vByyzz1jqFFdJQsSvJXFext2UG6zCldjFGoawWCuMe8d16SgMDEUPHszBKlBNmE2I4d_yrZYILLcBMJnw5IsYY38WpusO8VMDOaPpwVxkE2FISsiv_t_E8w-UriaW25SKWlqZeXW0JuLP58nFxJXsWh4kQXtx494-ntECwvXvndMt6QozKtygFP9rDn5U_tMHuMtW4pQL4uZQNGj7zmUT_kUNwjQ1-cE42JzPwxwcRTi5Yw5Bns",
    "expiresIn": "3600",
    "localId": "bnlLZXeIJqZF5eG4qCDiojzNrwh1"
}

[2023-08-29 03:56:30] [25] [INFO] Trying to parse IDP response to access token model
[2023-08-29 03:56:32] [25] [INFO] Request method:	POST
Request URI:	https://vtqa-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=lifefitnesspostman%2B84612242%40gmail.com
Request params:	<none>
Query params:	email=lifefitnesspostman+84612242@gmail.com
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=HGs/rc3aUDJe1KkKpJE479juIYXD/wcYtOEL8ubuTc8=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: e7b2972bfebd4898337d2a8394a59b98
Date: Tue, 29 Aug 2023 03:56:32 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-29 03:56:32] [25] [INFO] Assert that api call was successful
[2023-08-29 03:57:11] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:12] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:12] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:13] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:13] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:14] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:14] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:15] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:15] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:16] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:16] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:17] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:18] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:18] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:19] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:19] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:20] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:20] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:21] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:21] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:22] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:23] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:23] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:24] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:24] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:25] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:25] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:26] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:27] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:27] [25] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:28] [25] [ERROR] Message wasn't found!
[2023-08-29 03:57:28] [25] [ERROR] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithLowerCaseEmail] SKIPPED at [03:57:28 2023-08-29] - Could not get message.

com.lifefitness.qa.utils.email.EmailUtils.getMessage(EmailUtils.java:186)
com.lifefitness.qa.api.utils.controllers.password.postresetpassword.PostResetPasswordTest.checkResetPasswordWithLowerCaseEmail(PostResetPasswordTest.java:89)
java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.base/java.lang.reflect.Method.invoke(Method.java:568)
org.testng.internal.invokers.MethodInvocationHelper.invokeMethod(MethodInvocationHelper.java:139)
org.testng.internal.invokers.TestInvoker.invokeMethod(TestInvoker.java:677)
org.testng.internal.invokers.TestInvoker.invokeTestMethod(TestInvoker.java:221)
org.testng.internal.invokers.MethodRunner.runInSequence(MethodRunner.java:50)
org.testng.internal.invokers.TestInvoker$MethodInvocationAgent.invoke(TestInvoker.java:969)
org.testng.internal.invokers.TestInvoker.invokeTestMethods(TestInvoker.java:194)
org.testng.internal.invokers.TestMethodWorker.invokeTestMethods(TestMethodWorker.java:148)
org.testng.internal.invokers.TestMethodWorker.run(TestMethodWorker.java:128)
java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1136)
java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:635)
java.base/java.lang.Thread.run(Thread.java:833)
[2023-08-29 03:57:28] [25] [INFO] Attaching logs to Allure report
